"Group Name","Group DistinguishedName","Member DistinguishedName","Action","Added Age (Days)","Removed Age (Days)","Added Date","Removed Date","ftimeCreated","ftimeDeleted"
"Users","CN=Users,CN=Builtin,DC=LAB,DC=local","CN=DARLA_WOODARD,OU=T0-Permissions,OU=Tier 0,OU=Admin,DC=LAB,DC=local","Added","5",,"8/27/2020 7:40:46 PM",,"2020-08-27T23:40:46Z","1601-01-01T00:00:00Z"
"Users","CN=Users,CN=Builtin,DC=LAB,DC=local","CN=Domain Users,CN=Users,DC=LAB,DC=local","Added","22",,"8/10/2020 8:37:15 PM",,"2020-08-11T00:37:15Z","1601-01-01T00:00:00Z"
"Users","CN=Users,CN=Builtin,DC=LAB,DC=local","CN=S-1-5-11,CN=ForeignSecurityPrincipals,DC=LAB,DC=local","Added","22",,"8/10/2020 8:36:41 PM",,"2020-08-11T00:36:41Z","1601-01-01T00:00:00Z"
"Users","CN=Users,CN=Builtin,DC=LAB,DC=local","CN=S-1-5-4,CN=ForeignSecurityPrincipals,DC=LAB,DC=local","Added","22",,"8/10/2020 8:36:41 PM",,"2020-08-11T00:36:41Z","1601-01-01T00:00:00Z"
"Users","CN=Users,CN=Builtin,DC=LAB,DC=local","CN=admin,CN=Users,DC=LAB,DC=local","Added","22",,"8/10/2020 8:36:41 PM",,"2020-08-11T00:36:41Z","1601-01-01T00:00:00Z"
"Guests","CN=Guests,CN=Builtin,DC=LAB,DC=local","CN=1655969236SA,OU=Testing,DC=LAB,DC=local","Added","5",,"8/27/2020 7:40:46 PM",,"2020-08-27T23:40:46Z","1601-01-01T00:00:00Z"
"Guests","CN=Guests,CN=Builtin,DC=LAB,DC=local","CN=Domain Guests,CN=Users,DC=LAB,DC=local","Added","22",,"8/10/2020 8:37:15 PM",,"2020-08-11T00:37:15Z","1601-01-01T00:00:00Z"
"Guests","CN=Guests,CN=Builtin,DC=LAB,DC=local","CN=Guest,CN=Users,DC=LAB,DC=local","Added","22",,"8/10/2020 8:36:41 PM",,"2020-08-11T00:36:41Z","1601-01-01T00:00:00Z"
"Print Operators","CN=Print Operators,CN=Builtin,DC=LAB,DC=local","CN=ALANA_CARROLL,OU=T0-Roles,OU=Tier 0,OU=Admin,DC=LAB,DC=local","Added","5",,"8/27/2020 7:40:46 PM",,"2020-08-27T23:40:46Z","1601-01-01T00:00:00Z"
"Print Operators","CN=Print Operators,CN=Builtin,DC=LAB,DC=local","CN=MERVIN_DANIEL,OU=Test,OU=BDE,OU=Tier 1,DC=LAB,DC=local","Added","5",,"8/27/2020 7:40:46 PM",,"2020-08-27T23:40:46Z","1601-01-01T00:00:00Z"
"Backup Operators","CN=Backup Operators,CN=Builtin,DC=LAB,DC=local","CN=DIANE_BAXTER,OU=People,DC=LAB,DC=local","Added","5",,"8/27/2020 7:40:46 PM",,"2020-08-27T23:40:46Z","1601-01-01T00:00:00Z"
"Backup Operators","CN=Backup Operators,CN=Builtin,DC=LAB,DC=local","CN=3212564488SA,OU=Devices,OU=SEC,OU=Tier 2,DC=LAB,DC=local","Added","5",,"8/27/2020 7:40:46 PM",,"2020-08-27T23:40:46Z","1601-01-01T00:00:00Z"
"Backup Operators","CN=Backup Operators,CN=Builtin,DC=LAB,DC=local","CN=FREDA_WALTER,OU=Groups,OU=AWS,OU=Tier 2,DC=LAB,DC=local","Added","5",,"8/27/2020 7:40:46 PM",,"2020-08-27T23:40:46Z","1601-01-01T00:00:00Z"
"Replicator","CN=Replicator,CN=Builtin,DC=LAB,DC=local","CN=BENNIE_HARPER,OU=ServiceAccounts,OU=FSR,OU=Tier 1,DC=LAB,DC=local","Added","5",,"8/27/2020 7:40:46 PM",,"2020-08-27T23:40:46Z","1601-01-01T00:00:00Z"
"Remote Desktop Users","CN=Remote Desktop Users,CN=Builtin,DC=LAB,DC=local","CN=ETHEL_REEVES,OU=Test,OU=AWS,OU=Tier 1,DC=LAB,DC=local","Added","5",,"8/27/2020 7:40:46 PM",,"2020-08-27T23:40:46Z","1601-01-01T00:00:00Z"
"Remote Desktop Users","CN=Remote Desktop Users,CN=Builtin,DC=LAB,DC=local","CN=LYNN_PATTON,OU=ServiceAccounts,OU=OGC,OU=Tier 1,DC=LAB,DC=local","Added","5",,"8/27/2020 7:40:46 PM",,"2020-08-27T23:40:46Z","1601-01-01T00:00:00Z"
"Network Configuration Operators","CN=Network Configuration Operators,CN=Builtin,DC=LAB,DC=local","CN=LEA_MCCRAY,OU=Devices,OU=ITS,OU=Stage,DC=LAB,DC=local","Added","5",,"8/27/2020 7:40:46 PM",,"2020-08-27T23:40:46Z","1601-01-01T00:00:00Z"
"Performance Monitor Users","CN=Performance Monitor Users,CN=Builtin,DC=LAB,DC=local","CN=ETTA_BARNETT,OU=Test,OU=AWS,OU=Tier 2,DC=LAB,DC=local","Added","5",,"8/27/2020 7:40:46 PM",,"2020-08-27T23:40:46Z","1601-01-01T00:00:00Z"
"Performance Monitor Users","CN=Performance Monitor Users,CN=Builtin,DC=LAB,DC=local","CN=TAMMY_SELLERS,OU=AZR,OU=Stage,DC=LAB,DC=local","Added","5",,"8/27/2020 7:40:46 PM",,"2020-08-27T23:40:46Z","1601-01-01T00:00:00Z"
"Performance Log Users","CN=Performance Log Users,CN=Builtin,DC=LAB,DC=local","CN=ROSA_HYDE,OU=Groups,OU=GOO,OU=Tier 2,DC=LAB,DC=local","Added","5",,"8/27/2020 7:40:46 PM",,"2020-08-27T23:40:46Z","1601-01-01T00:00:00Z"
"Performance Log Users","CN=Performance Log Users,CN=Builtin,DC=LAB,DC=local","CN=CRUZ_HARVEY,OU=Test,OU=GOO,OU=Tier 1,DC=LAB,DC=local","Added","5",,"8/27/2020 7:40:46 PM",,"2020-08-27T23:40:46Z","1601-01-01T00:00:00Z"
"Distributed COM Users","CN=Distributed COM Users,CN=Builtin,DC=LAB,DC=local","CN=HOUSTON_BRADLEY,OU=Test,OU=FIN,OU=Stage,DC=LAB,DC=local","Added","5",,"8/27/2020 7:40:46 PM",,"2020-08-27T23:40:46Z","1601-01-01T00:00:00Z"
"Distributed COM Users","CN=Distributed COM Users,CN=Builtin,DC=LAB,DC=local","CN=DAPHNE_OLSEN,OU=Groups,OU=GOO,OU=Tier 2,DC=LAB,DC=local","Added","5",,"8/27/2020 7:40:46 PM",,"2020-08-27T23:40:46Z","1601-01-01T00:00:00Z"
"IIS_IUSRS","CN=IIS_IUSRS,CN=Builtin,DC=LAB,DC=local","CN=ERNA_DOUGLAS,OU=ServiceAccounts,OU=ITS,OU=Stage,DC=LAB,DC=local","Added","5",,"8/27/2020 7:40:46 PM",,"2020-08-27T23:40:46Z","1601-01-01T00:00:00Z"
"IIS_IUSRS","CN=IIS_IUSRS,CN=Builtin,DC=LAB,DC=local","CN=SALLIE_BLANCHARD,OU=Devices,OU=FIN,OU=Tier 2,DC=LAB,DC=local","Added","5",,"8/27/2020 7:40:46 PM",,"2020-08-27T23:40:46Z","1601-01-01T00:00:00Z"
"IIS_IUSRS","CN=IIS_IUSRS,CN=Builtin,DC=LAB,DC=local","CN=S-1-5-17,CN=ForeignSecurityPrincipals,DC=LAB,DC=local","Removed","22","22","8/10/2020 8:37:15 PM","8/10/2020 8:43:17 PM","2020-08-11T00:37:15Z","2020-08-11T00:43:17Z"
"Cryptographic Operators","CN=Cryptographic Operators,CN=Builtin,DC=LAB,DC=local","CN=ELLIOTT_SHEPHERD,OU=T1-Devices,OU=Tier 1,OU=Admin,DC=LAB,DC=local","Added","5",,"8/27/2020 7:40:46 PM",,"2020-08-27T23:40:46Z","1601-01-01T00:00:00Z"
"Cryptographic Operators","CN=Cryptographic Operators,CN=Builtin,DC=LAB,DC=local","CN=ROLANDO_CROSS,OU=ServiceAccounts,OU=GOO,OU=Stage,DC=LAB,DC=local","Added","5",,"8/27/2020 7:40:46 PM",,"2020-08-27T23:40:46Z","1601-01-01T00:00:00Z"
"Event Log Readers","CN=Event Log Readers,CN=Builtin,DC=LAB,DC=local","CN=HOUSTON_BRADLEY,OU=Test,OU=FIN,OU=Stage,DC=LAB,DC=local","Added","5",,"8/27/2020 7:40:46 PM",,"2020-08-27T23:40:46Z","1601-01-01T00:00:00Z"
"Event Log Readers","CN=Event Log Readers,CN=Builtin,DC=LAB,DC=local","CN=1729887133SA,OU=AWS,OU=Tier 1,DC=LAB,DC=local","Added","5",,"8/27/2020 7:40:46 PM",,"2020-08-27T23:40:46Z","1601-01-01T00:00:00Z"
"Event Log Readers","CN=Event Log Readers,CN=Builtin,DC=LAB,DC=local","CN=ELISEO_MARSH,OU=ServiceAccounts,OU=BDE,OU=Tier 1,DC=LAB,DC=local","Added","5",,"8/27/2020 7:40:46 PM",,"2020-08-27T23:40:46Z","1601-01-01T00:00:00Z"
"Certificate Service DCOM Access","CN=Certificate Service DCOM Access,CN=Builtin,DC=LAB,DC=local","CN=NAPOLEON_YORK,OU=ITS,OU=Tier 2,DC=LAB,DC=local","Added","5",,"8/27/2020 7:40:46 PM",,"2020-08-27T23:40:46Z","1601-01-01T00:00:00Z"
"Certificate Service DCOM Access","CN=Certificate Service DCOM Access,CN=Builtin,DC=LAB,DC=local","CN=FLOYD_WORKMAN,OU=AZR,OU=Tier 1,DC=LAB,DC=local","Added","5",,"8/27/2020 7:40:46 PM",,"2020-08-27T23:40:46Z","1601-01-01T00:00:00Z"
"Certificate Service DCOM Access","CN=Certificate Service DCOM Access,CN=Builtin,DC=LAB,DC=local","CN=REED_CLAY,OU=Devices,OU=OGC,OU=Stage,DC=LAB,DC=local","Added","5",,"8/27/2020 7:40:46 PM",,"2020-08-27T23:40:46Z","1601-01-01T00:00:00Z"
"Certificate Service DCOM Access","CN=Certificate Service DCOM Access,CN=Builtin,DC=LAB,DC=local","CN=S-1-5-11,CN=ForeignSecurityPrincipals,DC=LAB,DC=local","Added","22",,"8/10/2020 8:43:38 PM",,"2020-08-11T00:43:38Z","1601-01-01T00:00:00Z"
"RDS Remote Access Servers","CN=RDS Remote Access Servers,CN=Builtin,DC=LAB,DC=local","CN=ED_SHARP,OU=Test,OU=FSR,OU=Tier 1,DC=LAB,DC=local","Added","5",,"8/27/2020 7:40:46 PM",,"2020-08-27T23:40:46Z","1601-01-01T00:00:00Z"
"RDS Remote Access Servers","CN=RDS Remote Access Servers,CN=Builtin,DC=LAB,DC=local","CN=JIM_MORRISON,OU=Groups,OU=FSR,OU=Stage,DC=LAB,DC=local","Added","5",,"8/27/2020 7:40:46 PM",,"2020-08-27T23:40:46Z","1601-01-01T00:00:00Z"
"RDS Endpoint Servers","CN=RDS Endpoint Servers,CN=Builtin,DC=LAB,DC=local","CN=JOCELYN_WHITLEY,OU=Test,OU=AWS,OU=Tier 1,DC=LAB,DC=local","Added","5",,"8/27/2020 7:40:46 PM",,"2020-08-27T23:40:46Z","1601-01-01T00:00:00Z"
"RDS Management Servers","CN=RDS Management Servers,CN=Builtin,DC=LAB,DC=local","CN=ESMERALDA_TERRELL,OU=TST,OU=People,DC=LAB,DC=local","Added","5",,"8/27/2020 7:40:46 PM",,"2020-08-27T23:40:46Z","1601-01-01T00:00:00Z"
"RDS Management Servers","CN=RDS Management Servers,CN=Builtin,DC=LAB,DC=local","CN=TERENCE_MEYER,OU=Domain Controllers,DC=LAB,DC=local","Added","5",,"8/27/2020 7:40:46 PM",,"2020-08-27T23:40:46Z","1601-01-01T00:00:00Z"
"RDS Management Servers","CN=RDS Management Servers,CN=Builtin,DC=LAB,DC=local","CN=MAURA_LONG,OU=FSR,OU=Stage,DC=LAB,DC=local","Added","5",,"8/27/2020 7:40:46 PM",,"2020-08-27T23:40:46Z","1601-01-01T00:00:00Z"
"Hyper-V Administrators","CN=Hyper-V Administrators,CN=Builtin,DC=LAB,DC=local","CN=RICHARD_PATRICK,OU=BDE,OU=Tier 2,DC=LAB,DC=local","Added","5",,"8/27/2020 7:40:46 PM",,"2020-08-27T23:40:46Z","1601-01-01T00:00:00Z"
"Hyper-V Administrators","CN=Hyper-V Administrators,CN=Builtin,DC=LAB,DC=local","CN=BERTHA_PADILLA,OU=Devices,OU=OGC,OU=Tier 1,DC=LAB,DC=local","Added","5",,"8/27/2020 7:40:46 PM",,"2020-08-27T23:40:46Z","1601-01-01T00:00:00Z"
"Access Control Assistance Operators","CN=Access Control Assistance Operators,CN=Builtin,DC=LAB,DC=local","CN=JOHNATHAN_STONE,OU=Test,OU=SEC,OU=Stage,DC=LAB,DC=local","Added","5",,"8/27/2020 7:40:46 PM",,"2020-08-27T23:40:46Z","1601-01-01T00:00:00Z"
"Access Control Assistance Operators","CN=Access Control Assistance Operators,CN=Builtin,DC=LAB,DC=local","CN=LENNY_WYNN,OU=Devices,OU=AWS,OU=Stage,DC=LAB,DC=local","Added","5",,"8/27/2020 7:40:46 PM",,"2020-08-27T23:40:46Z","1601-01-01T00:00:00Z"
"Access Control Assistance Operators","CN=Access Control Assistance Operators,CN=Builtin,DC=LAB,DC=local","CN=ELIAS_JENSEN,OU=HRE,OU=Tier 1,DC=LAB,DC=local","Added","5",,"8/27/2020 7:40:46 PM",,"2020-08-27T23:40:46Z","1601-01-01T00:00:00Z"
"Remote Management Users","CN=Remote Management Users,CN=Builtin,DC=LAB,DC=local","CN=ADAN_ROCHA,OU=Groups,OU=ESM,OU=Tier 2,DC=LAB,DC=local","Added","5",,"8/27/2020 7:40:46 PM",,"2020-08-27T23:40:46Z","1601-01-01T00:00:00Z"
"Remote Management Users","CN=Remote Management Users,CN=Builtin,DC=LAB,DC=local","CN=AUTUMN_CHARLES,OU=ServiceAccounts,OU=OGC,OU=Tier 2,DC=LAB,DC=local","Added","5",,"8/27/2020 7:40:46 PM",,"2020-08-27T23:40:46Z","1601-01-01T00:00:00Z"
"System Managed Accounts Group","CN=System Managed Accounts Group,CN=Builtin,DC=LAB,DC=local","CN=IMELDA_BARBER,OU=GOO,OU=Stage,DC=LAB,DC=local","Added","5",,"8/27/2020 7:40:46 PM",,"2020-08-27T23:40:46Z","1601-01-01T00:00:00Z"
"System Managed Accounts Group","CN=System Managed Accounts Group,CN=Builtin,DC=LAB,DC=local","CN=SUSIE_SAUNDERS,OU=Tier 1,OU=Admin,DC=LAB,DC=local","Added","5",,"8/27/2020 7:40:46 PM",,"2020-08-27T23:40:46Z","1601-01-01T00:00:00Z"
"System Managed Accounts Group","CN=System Managed Accounts Group,CN=Builtin,DC=LAB,DC=local","CN=DefaultAccount,CN=Users,DC=LAB,DC=local","Added","22",,"8/10/2020 8:36:41 PM",,"2020-08-11T00:36:41Z","1601-01-01T00:00:00Z"
"Storage Replica Administrators","CN=Storage Replica Administrators,CN=Builtin,DC=LAB,DC=local","CN=PERCY_GLENN,OU=ServiceAccounts,OU=OGC,OU=Tier 2,DC=LAB,DC=local","Added","5",,"8/27/2020 7:40:46 PM",,"2020-08-27T23:40:46Z","1601-01-01T00:00:00Z"
"Storage Replica Administrators","CN=Storage Replica Administrators,CN=Builtin,DC=LAB,DC=local","CN=ERNESTINE_GIBSON,OU=AZR,OU=People,DC=LAB,DC=local","Added","5",,"8/27/2020 7:40:46 PM",,"2020-08-27T23:40:46Z","1601-01-01T00:00:00Z"
"Domain Controllers","CN=Domain Controllers,CN=Users,DC=LAB,DC=local","CN=CARTER_HOWE,OU=HRE,OU=People,DC=LAB,DC=local","Added","5",,"8/27/2020 7:40:45 PM",,"2020-08-27T23:40:45Z","1601-01-01T00:00:00Z"
"Domain Controllers","CN=Domain Controllers,CN=Users,DC=LAB,DC=local","CN=ESTEBAN_COLE,OU=HRE,OU=People,DC=LAB,DC=local","Added","5",,"8/27/2020 7:40:45 PM",,"2020-08-27T23:40:45Z","1601-01-01T00:00:00Z"
"Schema Admins","CN=Schema Admins,CN=Users,DC=LAB,DC=local","CN=Administrator,CN=Users,DC=LAB,DC=local","Added","22",,"8/10/2020 8:37:15 PM",,"2020-08-11T00:37:15Z","1601-01-01T00:00:00Z"
"Enterprise Admins","CN=Enterprise Admins,CN=Users,DC=LAB,DC=local","CN=Administrator,CN=Users,DC=LAB,DC=local","Added","22",,"8/10/2020 8:37:15 PM",,"2020-08-11T00:37:15Z","1601-01-01T00:00:00Z"
"Domain Computers","CN=Domain Computers,CN=Users,DC=LAB,DC=local","CN=JEANNINE_FITZGERALD,OU=Devices,OU=OGC,OU=Tier 2,DC=LAB,DC=local","Added","5",,"8/27/2020 7:40:45 PM",,"2020-08-27T23:40:45Z","1601-01-01T00:00:00Z"
"Domain Computers","CN=Domain Computers,CN=Users,DC=LAB,DC=local","CN=BRETT_HINES,OU=Test,OU=SEC,OU=Tier 2,DC=LAB,DC=local","Added","5",,"8/27/2020 7:40:45 PM",,"2020-08-27T23:40:45Z","1601-01-01T00:00:00Z"
"Domain Computers","CN=Domain Computers,CN=Users,DC=LAB,DC=local","CN=PATRICE_SCHNEIDER,OU=GOO,OU=Tier 1,DC=LAB,DC=local","Added","5",,"8/27/2020 7:40:45 PM",,"2020-08-27T23:40:45Z","1601-01-01T00:00:00Z"
"Domain Computers","CN=Domain Computers,CN=Users,DC=LAB,DC=local","CN=TRACI_BRADY,OU=ServiceAccounts,OU=TST,OU=Tier 2,DC=LAB,DC=local","Added","5",,"8/27/2020 7:40:45 PM",,"2020-08-27T23:40:45Z","1601-01-01T00:00:00Z"
"Cert Publishers","CN=Cert Publishers,CN=Users,DC=LAB,DC=local","CN=BARBARA_SAVAGE,OU=ServiceAccounts,OU=TST,OU=Stage,DC=LAB,DC=local","Added","5",,"8/27/2020 7:40:46 PM",,"2020-08-27T23:40:46Z","1601-01-01T00:00:00Z"
"Cert Publishers","CN=Cert Publishers,CN=Users,DC=LAB,DC=local","CN=DC1,OU=Domain Controllers,DC=LAB,DC=local","Added","22",,"8/10/2020 8:43:38 PM",,"2020-08-11T00:43:38Z","1601-01-01T00:00:00Z"
"Domain Admins","CN=Domain Admins,CN=Users,DC=LAB,DC=local","CN=MYRNA_HOLLOWAY,OU=ServiceAccounts,OU=OGC,OU=Stage,DC=LAB,DC=local","Added","5",,"8/27/2020 7:40:45 PM",,"2020-08-27T23:40:45Z","1601-01-01T00:00:00Z"
"Domain Admins","CN=Domain Admins,CN=Users,DC=LAB,DC=local","CN=CHERI_MULLEN,OU=ServiceAccounts,OU=FIN,OU=Tier 2,DC=LAB,DC=local","Added","5",,"8/27/2020 7:40:45 PM",,"2020-08-27T23:40:45Z","1601-01-01T00:00:00Z"
"Domain Admins","CN=Domain Admins,CN=Users,DC=LAB,DC=local","CN=admin1,CN=Users,DC=LAB,DC=local","Added","22",,"8/10/2020 8:44:18 PM",,"2020-08-11T00:44:18Z","1601-01-01T00:00:00Z"
"Domain Admins","CN=Domain Admins,CN=Users,DC=LAB,DC=local","CN=Administrator,CN=Users,DC=LAB,DC=local","Added","22",,"8/10/2020 8:37:15 PM",,"2020-08-11T00:37:15Z","1601-01-01T00:00:00Z"
"Group Policy Creator Owners","CN=Group Policy Creator Owners,CN=Users,DC=LAB,DC=local","CN=MARGARITA_CLARK,OU=Groups,OU=AZR,OU=Tier 1,DC=LAB,DC=local","Added","5",,"8/27/2020 7:40:46 PM",,"2020-08-27T23:40:46Z","1601-01-01T00:00:00Z"
"Group Policy Creator Owners","CN=Group Policy Creator Owners,CN=Users,DC=LAB,DC=local","CN=AILEEN_WALLS,OU=Test,OU=SEC,OU=Tier 2,DC=LAB,DC=local","Added","5",,"8/27/2020 7:40:46 PM",,"2020-08-27T23:40:46Z","1601-01-01T00:00:00Z"
"Group Policy Creator Owners","CN=Group Policy Creator Owners,CN=Users,DC=LAB,DC=local","CN=NATASHA_CANTRELL,OU=Test,OU=TST,OU=Tier 2,DC=LAB,DC=local","Added","5",,"8/27/2020 7:40:46 PM",,"2020-08-27T23:40:46Z","1601-01-01T00:00:00Z"
"Group Policy Creator Owners","CN=Group Policy Creator Owners,CN=Users,DC=LAB,DC=local","CN=WINNIE_CARSON,OU=ServiceAccounts,OU=OGC,OU=Stage,DC=LAB,DC=local","Added","5",,"8/27/2020 7:40:46 PM",,"2020-08-27T23:40:46Z","1601-01-01T00:00:00Z"
"Group Policy Creator Owners","CN=Group Policy Creator Owners,CN=Users,DC=LAB,DC=local","CN=Administrator,CN=Users,DC=LAB,DC=local","Added","22",,"8/10/2020 8:37:15 PM",,"2020-08-11T00:37:15Z","1601-01-01T00:00:00Z"
"RAS and IAS Servers","CN=RAS and IAS Servers,CN=Users,DC=LAB,DC=local","CN=CONCETTA_FLORES,OU=T1-Devices,OU=Tier 1,OU=Admin,DC=LAB,DC=local","Added","5",,"8/27/2020 7:40:46 PM",,"2020-08-27T23:40:46Z","1601-01-01T00:00:00Z"
"RAS and IAS Servers","CN=RAS and IAS Servers,CN=Users,DC=LAB,DC=local","CN=8513660353SA,OU=ServiceAccounts,OU=ITS,OU=Tier 1,DC=LAB,DC=local","Added","5",,"8/27/2020 7:40:46 PM",,"2020-08-27T23:40:46Z","1601-01-01T00:00:00Z"
"Server Operators","CN=Server Operators,CN=Builtin,DC=LAB,DC=local","CN=AMBER_BARTON,OU=Groups,OU=ITS,OU=Tier 1,DC=LAB,DC=local","Added","5",,"8/27/2020 7:40:47 PM",,"2020-08-27T23:40:47Z","1601-01-01T00:00:00Z"
"Account Operators","CN=Account Operators,CN=Builtin,DC=LAB,DC=local","CN=1965636653SA,OU=Devices,OU=ITS,OU=Stage,DC=LAB,DC=local","Added","5",,"8/27/2020 7:40:47 PM",,"2020-08-27T23:40:47Z","1601-01-01T00:00:00Z"
"Account Operators","CN=Account Operators,CN=Builtin,DC=LAB,DC=local","CN=ODESSA_ENGLISH,OU=AWS,OU=Stage,DC=LAB,DC=local","Added","5",,"8/27/2020 7:40:47 PM",,"2020-08-27T23:40:47Z","1601-01-01T00:00:00Z"
"Pre-Windows 2000 Compatible Access","CN=Pre-Windows 2000 Compatible Access,CN=Builtin,DC=LAB,DC=local","CN=CARLENE_MCINTOSH,OU=ServiceAccounts,OU=TST,OU=Stage,DC=LAB,DC=local","Added","5",,"8/27/2020 7:40:47 PM",,"2020-08-27T23:40:47Z","1601-01-01T00:00:00Z"
"Pre-Windows 2000 Compatible Access","CN=Pre-Windows 2000 Compatible Access,CN=Builtin,DC=LAB,DC=local","CN=DC1,OU=Domain Controllers,DC=LAB,DC=local","Added","22",,"8/10/2020 8:43:38 PM",,"2020-08-11T00:43:38Z","1601-01-01T00:00:00Z"
"Pre-Windows 2000 Compatible Access","CN=Pre-Windows 2000 Compatible Access,CN=Builtin,DC=LAB,DC=local","CN=S-1-5-11,CN=ForeignSecurityPrincipals,DC=LAB,DC=local","Added","22",,"8/10/2020 8:37:15 PM",,"2020-08-11T00:37:15Z","1601-01-01T00:00:00Z"
"Incoming Forest Trust Builders","CN=Incoming Forest Trust Builders,CN=Builtin,DC=LAB,DC=local","CN=MADELEINE_SAWYER,OU=ESM,OU=Tier 1,DC=LAB,DC=local","Added","5",,"8/27/2020 7:40:47 PM",,"2020-08-27T23:40:47Z","1601-01-01T00:00:00Z"
"Incoming Forest Trust Builders","CN=Incoming Forest Trust Builders,CN=Builtin,DC=LAB,DC=local","CN=827113772SA,OU=Deprovisioned,OU=People,DC=LAB,DC=local","Added","5",,"8/27/2020 7:40:47 PM",,"2020-08-27T23:40:47Z","1601-01-01T00:00:00Z"
"Windows Authorization Access Group","CN=Windows Authorization Access Group,CN=Builtin,DC=LAB,DC=local","CN=CLARE_HENDRIX,OU=Test,OU=BDE,OU=Stage,DC=LAB,DC=local","Added","5",,"8/27/2020 7:40:47 PM",,"2020-08-27T23:40:47Z","1601-01-01T00:00:00Z"
"Windows Authorization Access Group","CN=Windows Authorization Access Group,CN=Builtin,DC=LAB,DC=local","CN=TONYA_BROOKS,OU=ServiceAccounts,OU=AZR,OU=Stage,DC=LAB,DC=local","Added","5",,"8/27/2020 7:40:47 PM",,"2020-08-27T23:40:47Z","1601-01-01T00:00:00Z"
"Windows Authorization Access Group","CN=Windows Authorization Access Group,CN=Builtin,DC=LAB,DC=local","CN=LUCY_CARSON,OU=Test,OU=AWS,OU=Tier 1,DC=LAB,DC=local","Added","5",,"8/27/2020 7:40:47 PM",,"2020-08-27T23:40:47Z","1601-01-01T00:00:00Z"
"Windows Authorization Access Group","CN=Windows Authorization Access Group,CN=Builtin,DC=LAB,DC=local","CN=S-1-5-9,CN=ForeignSecurityPrincipals,DC=LAB,DC=local","Added","22",,"8/10/2020 8:37:15 PM",,"2020-08-11T00:37:15Z","1601-01-01T00:00:00Z"
"Terminal Server License Servers","CN=Terminal Server License Servers,CN=Builtin,DC=LAB,DC=local","CN=EMANUEL_WISE,OU=Devices,OU=HRE,OU=Tier 1,DC=LAB,DC=local","Added","5",,"8/27/2020 7:40:47 PM",,"2020-08-27T23:40:47Z","1601-01-01T00:00:00Z"
"Terminal Server License Servers","CN=Terminal Server License Servers,CN=Builtin,DC=LAB,DC=local","CN=WALDO_CARROLL,OU=Devices,OU=SEC,OU=Tier 1,DC=LAB,DC=local","Added","5",,"8/27/2020 7:40:47 PM",,"2020-08-27T23:40:47Z","1601-01-01T00:00:00Z"
