"Group Name","Member UserName","Member Name","AccountType","Member AdminCount"
"WseRemoteAccessUsers","TRENTON_BEAN","TRENTON_BEAN","user",""
"Domain Users","TOM_SINGLETON","TOM_SINGLETON","user",""
"GE-zal-distlist","TOM_SINGLETON","TOM_SINGLETON","user",""
"IS-ikbasbou2-distlist","TOM_SINGLETON","TOM_SINGLETON","user",""
"SA-670587865-distlist","TOM_SINGLETON","TOM_SINGLETON","user",""
"PA-swe-distlist","TOM_SINGLETON","TOM_SINGLETON","user",""
"KR-flo-distlist","TOM_SINGLETON","TOM_SINGLETON","user",""
"VI-951-distlist","TOM_SINGLETON","TOM_SINGLETON","user",""
"SH-bla-admingroup","TOM_SINGLETON","TOM_SINGLETON","user",""
"KI-1.20883E1-distlist","TOM_SINGLETON","TOM_SINGLETON","user",""
"Domain Users","KENDRICK_ROTH","KENDRICK_ROTH","user",""
"DE-222-distlist","KENDRICK_ROTH","KENDRICK_ROTH","user",""
"AM-pun-distlist","KENDRICK_ROTH","KENDRICK_ROTH","user",""
"FL-asc-distlist","KENDRICK_ROTH","KENDRICK_ROTH","user",""
"Domain Users","JEREMY_MCKINNEY","JEREMY_MCKINNEY","user",""
"AL-cat-distlist","JEREMY_MCKINNEY","JEREMY_MCKINNEY","user",""
"GL-523-admingroup","JEREMY_MCKINNEY","JEREMY_MCKINNEY","user",""
"JO-bla-distlist","JEREMY_MCKINNEY","JEREMY_MCKINNEY","user",""
"AI-melamamas-distlist","JEREMY_MCKINNEY","JEREMY_MCKINNEY","user",""
"WseAllowAddInAccess","JEREMY_MCKINNEY","JEREMY_MCKINNEY","user",""
"Domain Users","WILFREDO_MOODY","WILFREDO_MOODY","user",""
"AR-evilempir-distlist","WILFREDO_MOODY","WILFREDO_MOODY","user",""
"AH-160-distlist","WILFREDO_MOODY","WILFREDO_MOODY","user",""
"GL-523-admingroup","WILFREDO_MOODY","WILFREDO_MOODY","user",""
"JE-qooplsant-distlist","WILFREDO_MOODY","WILFREDO_MOODY","user",""
"NA-7h2jtntbc-distlist","WILFREDO_MOODY","WILFREDO_MOODY","user",""
"BR-myk-distlist","WILFREDO_MOODY","WILFREDO_MOODY","user",""
"PE-229-admingroup","WILFREDO_MOODY","WILFREDO_MOODY","user",""
"80-fulanitaa-admingroup","WILFREDO_MOODY","WILFREDO_MOODY","user",""
"AL-180-admingroup","WILFREDO_MOODY","WILFREDO_MOODY","user",""
"VI-951-distlist","WILFREDO_MOODY","WILFREDO_MOODY","user",""
"31-boeing747-distlist","WILFREDO_MOODY","WILFREDO_MOODY","user",""
"Domain Users","ISIDRO_MCKAY","ISIDRO_MCKAY","user",""
"NO-ixchel_94-distlist","ISIDRO_MCKAY","ISIDRO_MCKAY","user",""
"CO-querayada-distlist","ISIDRO_MCKAY","ISIDRO_MCKAY","user",""
"WO-arm-distlist","ISIDRO_MCKAY","ISIDRO_MCKAY","user",""
"CA-592-distlist","ISIDRO_MCKAY","ISIDRO_MCKAY","user",""
"Domain Guests","Guest","Guest","user",""
"LA-shop_y_tu-distlist","Guest","Guest","user",""
"VA-ale-distlist","Guest","Guest","user",""
"46-EX3-distlist","Guest","Guest","user",""
"AL-180-admingroup","Guest","Guest","user",""
"VA-9570794AS-distlist","Guest","Guest","user",""
"MI-242-distlist","Guest","Guest","user",""
"TR-alt-distlist","Guest","Guest","user",""
"CL-est-distlist","Guest","Guest","user",""
"Guests","Guest","Guest","user",""
"Domain Users","PEGGY_HUBER","PEGGY_HUBER","user",""
"JE-pal-distlist","PEGGY_HUBER","PEGGY_HUBER","user",""
"31-boeing747-distlist","PEGGY_HUBER","PEGGY_HUBER","user",""
"Domain Users","GILDA_BURGESS","GILDA_BURGESS","user",""
"JA-031284cha-distlist","GILDA_BURGESS","GILDA_BURGESS","user",""
"BL-161-admingroup","GILDA_BURGESS","GILDA_BURGESS","user",""
"SC-sac-admingroup","GILDA_BURGESS","GILDA_BURGESS","user",""
"WseAllowMediaAccess","GILDA_BURGESS","GILDA_BURGESS","user",""
"WseRemoteWebAccessUsers","GILDA_BURGESS","GILDA_BURGESS","user",""
"Domain Users","1373065120SA","1373065120SA","user",""
"NO-ixchel_94-distlist","1373065120SA","1373065120SA","user",""
"LI-280-admingroup","1373065120SA","1373065120SA","user",""
"JE-46454328d-distlist","1373065120SA","1373065120SA","user",""
"BA-carolina6-distlist","1373065120SA","1373065120SA","user",""
"SH-mictlante-distlist","1373065120SA","1373065120SA","user",""
"41-mam-admingroup","1373065120SA","1373065120SA","user",""
"31-boeing747-distlist","1373065120SA","1373065120SA","user",""
"CL-est-distlist","1373065120SA","1373065120SA","user",""
"WseAllowAddInAccess","1373065120SA","1373065120SA","user",""
"Domain Users","BRENTON_HODGES","BRENTON_HODGES","user",""
"Domain Users","DefaultAccount","DefaultAccount","user",""
"IS-ikbasbou2-distlist","DefaultAccount","DefaultAccount","user",""
"CO-130-distlist","DefaultAccount","DefaultAccount","user",""
"KI-1.20883E1-distlist","DefaultAccount","DefaultAccount","user",""
"System Managed Accounts Group","DefaultAccount","DefaultAccount","user",""
"Domain Users","BESSIE_TERRY","BESSIE_TERRY","user",""
"Domain Users","CHERRY_STAFFORD","CHERRY_STAFFORD","user",""
"Domain Users","CHRISTY_VANG","CHRISTY_VANG","user",""
"AL-chi-distlist","CHRISTY_VANG","CHRISTY_VANG","user",""
"46-EX3-distlist","CHRISTY_VANG","CHRISTY_VANG","user",""
"AL-180-admingroup","CHRISTY_VANG","CHRISTY_VANG","user",""
"MO-carasucia-admingroup","CHRISTY_VANG","CHRISTY_VANG","user",""
"WseAlertAdministrators","CHRISTY_VANG","CHRISTY_VANG","user",""
"Domain Users","ALEJANDRO_MORSE","ALEJANDRO_MORSE","user",""
"JA-tom-distlist","ALEJANDRO_MORSE","ALEJANDRO_MORSE","user",""
"WA-barryrayw-distlist","ALEJANDRO_MORSE","ALEJANDRO_MORSE","user",""
"MI-mia-distlist","ALEJANDRO_MORSE","ALEJANDRO_MORSE","user",""
"AH-160-distlist","ALEJANDRO_MORSE","ALEJANDRO_MORSE","user",""
"BR-216-admingroup","ALEJANDRO_MORSE","ALEJANDRO_MORSE","user",""
"BA-carolina6-distlist","ALEJANDRO_MORSE","ALEJANDRO_MORSE","user",""
"LY-rud-distlist","ALEJANDRO_MORSE","ALEJANDRO_MORSE","user",""
"CO-130-distlist","ALEJANDRO_MORSE","ALEJANDRO_MORSE","user",""
"Domain Users","ROSA_GRIMES","ROSA_GRIMES","user",""
"Domain Users","JOEL_LANG","JOEL_LANG","user",""
"68-248-distlist","JOEL_LANG","JOEL_LANG","user",""
"NI-602-distlist","JOEL_LANG","JOEL_LANG","user",""
"IR-zay-distlist","JOEL_LANG","JOEL_LANG","user",""
"ZA-PEQ-distlist","JOEL_LANG","JOEL_LANG","user",""
"GW-tivogliob-admingroup","JOEL_LANG","JOEL_LANG","user",""
"JO-ayse12345-distlist","JOEL_LANG","JOEL_LANG","user",""
"MI-242-distlist","JOEL_LANG","JOEL_LANG","user",""
"JA-ilovedani-admingroup","JOEL_LANG","JOEL_LANG","user",""
"Domain Users","TRENTON_CHERRY","TRENTON_CHERRY","user",""
"LO-mar-distlist","TRENTON_CHERRY","TRENTON_CHERRY","user",""
"HA-ger-distlist","TRENTON_CHERRY","TRENTON_CHERRY","user",""
"MI-242-distlist","TRENTON_CHERRY","TRENTON_CHERRY","user",""
"Domain Users","admin","admin","user","1"
"MA-cabecital-distlist","admin","admin","user","1"
"GE-zal-distlist","admin","admin","user","1"
"CA-pol-distlist","admin","admin","user","1"
"WI-pforzheim-admingroup","admin","admin","user","1"
"CL-inf-distlist","admin","admin","user","1"
"WO-arm-distlist","admin","admin","user","1"
"LY-rud-distlist","admin","admin","user","1"
"JA-ilovedani-admingroup","admin","admin","user","1"
"WseManagedGroups","admin","admin","user","1"
"Users","admin","admin","user","1"
"Administrators","admin","admin","user","1"
"Domain Users","BENITA_COHEN","BENITA_COHEN","user",""
"EL-234-admingroup","BENITA_COHEN","BENITA_COHEN","user",""
"DA-920-admingroup","BENITA_COHEN","BENITA_COHEN","user",""
"ID-josailorv-distlist","BENITA_COHEN","BENITA_COHEN","user",""
"BR-216-admingroup","BENITA_COHEN","BENITA_COHEN","user",""
"80-fulanitaa-admingroup","BENITA_COHEN","BENITA_COHEN","user",""
"DA-ana-distlist","BENITA_COHEN","BENITA_COHEN","user",""
"AL-ashleytis-distlist","BENITA_COHEN","BENITA_COHEN","user",""
"LU-171-distlist","BENITA_COHEN","BENITA_COHEN","user",""
"CO-130-distlist","BENITA_COHEN","BENITA_COHEN","user",""
"JE-pal-distlist","BENITA_COHEN","BENITA_COHEN","user",""
"LY-adiact289-distlist","BENITA_COHEN","BENITA_COHEN","user",""
"Domain Users","AMOS_PRUITT","AMOS_PRUITT","user",""
"MI-ber-distlist","AMOS_PRUITT","AMOS_PRUITT","user",""
"BU-mil-distlist","AMOS_PRUITT","AMOS_PRUITT","user",""
"CO-querayada-distlist","AMOS_PRUITT","AMOS_PRUITT","user",""
"AL-leninmarx-admingroup","AMOS_PRUITT","AMOS_PRUITT","user",""
"BE-oscar2546-distlist","AMOS_PRUITT","AMOS_PRUITT","user",""
"CO-130-distlist","AMOS_PRUITT","AMOS_PRUITT","user",""
"Domain Users","FRANCESCA_SAWYER","FRANCESCA_SAWYER","user",""
"MI-ber-distlist","FRANCESCA_SAWYER","FRANCESCA_SAWYER","user",""
"DA-920-admingroup","FRANCESCA_SAWYER","FRANCESCA_SAWYER","user",""
"PA-gerardway-admingroup","FRANCESCA_SAWYER","FRANCESCA_SAWYER","user",""
"AN-diarrea78-distlist","FRANCESCA_SAWYER","FRANCESCA_SAWYER","user",""
"VI-951-distlist","FRANCESCA_SAWYER","FRANCESCA_SAWYER","user",""
"BA-carolina6-distlist","FRANCESCA_SAWYER","FRANCESCA_SAWYER","user",""
"LE-gas-distlist","FRANCESCA_SAWYER","FRANCESCA_SAWYER","user",""
"CH-miesencia-distlist","FRANCESCA_SAWYER","FRANCESCA_SAWYER","user",""
"CH-03Dolores-distlist","FRANCESCA_SAWYER","FRANCESCA_SAWYER","user",""
"LY-adiact289-distlist","FRANCESCA_SAWYER","FRANCESCA_SAWYER","user",""
"FR-bar-distlist","FRANCESCA_SAWYER","FRANCESCA_SAWYER","user",""
"Domain Users","8760250850SA","8760250850SA","user",""
"Domain Users","BRITTANY_BARRY","BRITTANY_BARRY","user",""
"CO-rimercito-admingroup","BRITTANY_BARRY","BRITTANY_BARRY","user",""
"JO-bla-distlist","BRITTANY_BARRY","BRITTANY_BARRY","user",""
"HE-140-distlist","BRITTANY_BARRY","BRITTANY_BARRY","user",""
"Domain Users","BROOKS_SEXTON","BROOKS_SEXTON","user",""
"JA-tom-distlist","BROOKS_SEXTON","BROOKS_SEXTON","user",""
"CA-pol-distlist","BROOKS_SEXTON","BROOKS_SEXTON","user",""
"21-dulcesito-admingroup","BROOKS_SEXTON","BROOKS_SEXTON","user",""
"SY-156580552-admingroup","BROOKS_SEXTON","BROOKS_SEXTON","user",""
"WO-arm-distlist","BROOKS_SEXTON","BROOKS_SEXTON","user",""
"LU-171-distlist","BROOKS_SEXTON","BROOKS_SEXTON","user",""
"CO-130-distlist","BROOKS_SEXTON","BROOKS_SEXTON","user",""
"JE-pal-distlist","BROOKS_SEXTON","BROOKS_SEXTON","user",""
"Domain Users","CARMELA_KLEIN","CARMELA_KLEIN","user",""
"NO-ixchel_94-distlist","CARMELA_KLEIN","CARMELA_KLEIN","user",""
"DE-222-distlist","CARMELA_KLEIN","CARMELA_KLEIN","user",""
"KR-flo-distlist","CARMELA_KLEIN","CARMELA_KLEIN","user",""
"JA-sup-distlist","CARMELA_KLEIN","CARMELA_KLEIN","user",""
"MA-das-distlist","CARMELA_KLEIN","CARMELA_KLEIN","user",""
"ED-110-admingroup","CARMELA_KLEIN","CARMELA_KLEIN","user",""
"JA-ilovedani-admingroup","CARMELA_KLEIN","CARMELA_KLEIN","user",""
"Domain Users","CLEO_SLOAN","CLEO_SLOAN","user",""
"68-248-distlist","CLEO_SLOAN","CLEO_SLOAN","user",""
"CO-rimercito-admingroup","CLEO_SLOAN","CLEO_SLOAN","user",""
"AH-160-distlist","CLEO_SLOAN","CLEO_SLOAN","user",""
"TE-pendejo77-distlist","CLEO_SLOAN","CLEO_SLOAN","user",""
"JE-46454328d-distlist","CLEO_SLOAN","CLEO_SLOAN","user",""
"LE-chi-distlist","CLEO_SLOAN","CLEO_SLOAN","user",""
"WseAllowHomePageLinks","CLEO_SLOAN","CLEO_SLOAN","user",""
"Domain Users","ROSA_ENGLAND","ROSA_ENGLAND","user",""
"JA-tom-distlist","ROSA_ENGLAND","ROSA_ENGLAND","user",""
"TR-270-distlist","ROSA_ENGLAND","ROSA_ENGLAND","user",""
"RO-bere1102a-distlist","ROSA_ENGLAND","ROSA_ENGLAND","user",""
"FR-the-distlist","ROSA_ENGLAND","ROSA_ENGLAND","user",""
"JU-841-distlist","ROSA_ENGLAND","ROSA_ENGLAND","user",""
"HO-ars-distlist","ROSA_ENGLAND","ROSA_ENGLAND","user",""
"DI-men-distlist","ROSA_ENGLAND","ROSA_ENGLAND","user",""
"ED-110-admingroup","ROSA_ENGLAND","ROSA_ENGLAND","user",""
"VA-9570794AS-distlist","ROSA_ENGLAND","ROSA_ENGLAND","user",""
"WseAllowHomePageLinks","ROSA_ENGLAND","ROSA_ENGLAND","user",""
"Domain Users","DONN_SANTANA","DONN_SANTANA","user",""
"Domain Users","525276528SA","525276528SA","user",""
"FE-amigosfox-distlist","525276528SA","525276528SA","user",""
"IS-ikbasbou2-distlist","525276528SA","525276528SA","user",""
"WI-pforzheim-admingroup","525276528SA","525276528SA","user",""
"MA-das-distlist","525276528SA","525276528SA","user",""
"MO-carasucia-admingroup","525276528SA","525276528SA","user",""
"AL-860-admingroup","525276528SA","525276528SA","user",""
"21-gua-admingroup","525276528SA","525276528SA","user",""
"MI-bef-distlist","525276528SA","525276528SA","user",""
"KI-1.20883E1-distlist","525276528SA","525276528SA","user",""
"WseInvisibleToDashboard","525276528SA","525276528SA","user",""
"Domain Users","QUINCY_VALENCIA","QUINCY_VALENCIA","user",""
"Domain Users","ROLAND_WHITNEY","ROLAND_WHITNEY","user",""
"TR-lacodorni-distlist","ROLAND_WHITNEY","ROLAND_WHITNEY","user",""
"MA-das-distlist","ROLAND_WHITNEY","ROLAND_WHITNEY","user",""
"WseManagedGroups","ROLAND_WHITNEY","ROLAND_WHITNEY","user",""
"Domain Users","LEIGH_MERRILL","LEIGH_MERRILL","user",""
"EL-234-admingroup","LEIGH_MERRILL","LEIGH_MERRILL","user",""
"SH-bla-admingroup","LEIGH_MERRILL","LEIGH_MERRILL","user",""
"ED-110-admingroup","LEIGH_MERRILL","LEIGH_MERRILL","user",""
"Domain Users","7687731368SA","7687731368SA","user",""
"13-mta-distlist","7687731368SA","7687731368SA","user",""
"AH-160-distlist","7687731368SA","7687731368SA","user",""
"AL-cat-distlist","7687731368SA","7687731368SA","user",""
"WI-rey-distlist","7687731368SA","7687731368SA","user",""
"JE-46454328d-distlist","7687731368SA","7687731368SA","user",""
"PA-gerardway-admingroup","7687731368SA","7687731368SA","user",""
"RO-cam-admingroup","7687731368SA","7687731368SA","user",""
"DE-zidane200-admingroup","7687731368SA","7687731368SA","user",""
"31-boeing747-distlist","7687731368SA","7687731368SA","user",""
"Domain Users","ELOY_DAUGHERTY","ELOY_DAUGHERTY","user",""
"NO-ixchel_94-distlist","ELOY_DAUGHERTY","ELOY_DAUGHERTY","user",""
"CA-pol-distlist","ELOY_DAUGHERTY","ELOY_DAUGHERTY","user",""
"LU-helpless2-distlist","ELOY_DAUGHERTY","ELOY_DAUGHERTY","user",""
"LE-namidnmai-distlist","ELOY_DAUGHERTY","ELOY_DAUGHERTY","user",""
"AI-melamamas-distlist","ELOY_DAUGHERTY","ELOY_DAUGHERTY","user",""
"TR-alt-distlist","ELOY_DAUGHERTY","ELOY_DAUGHERTY","user",""
"RI-Mig-distlist","ELOY_DAUGHERTY","ELOY_DAUGHERTY","user",""
"WseAllowAddInAccess","ELOY_DAUGHERTY","ELOY_DAUGHERTY","user",""
"Domain Users","TRAVIS_HENSON","TRAVIS_HENSON","user",""
"Domain Users","CLARICE_FLETCHER","CLARICE_FLETCHER","user",""
"AL-chi-distlist","CLARICE_FLETCHER","CLARICE_FLETCHER","user",""
"13-mta-distlist","CLARICE_FLETCHER","CLARICE_FLETCHER","user",""
"DE-222-distlist","CLARICE_FLETCHER","CLARICE_FLETCHER","user",""
"NO-miq-distlist","CLARICE_FLETCHER","CLARICE_FLETCHER","user",""
"RO-albertito-distlist","CLARICE_FLETCHER","CLARICE_FLETCHER","user",""
"SH-bla-admingroup","CLARICE_FLETCHER","CLARICE_FLETCHER","user",""
"CA-592-distlist","CLARICE_FLETCHER","CLARICE_FLETCHER","user",""
"RO-cam-admingroup","CLARICE_FLETCHER","CLARICE_FLETCHER","user",""
"CL-est-distlist","CLARICE_FLETCHER","CLARICE_FLETCHER","user",""
"WseAllowDashboardAccess","CLARICE_FLETCHER","CLARICE_FLETCHER","user",""
"Domain Users","admin1","admin1","user","1"
"nested group","admin1","admin1","user","1"
"MA-cabecital-distlist","admin1","admin1","user","1"
"DA-920-admingroup","admin1","admin1","user","1"
"RO-bere1102a-distlist","admin1","admin1","user","1"
"DE-222-distlist","admin1","admin1","user","1"
"JE-qooplsant-distlist","admin1","admin1","user","1"
"LY-rud-distlist","admin1","admin1","user","1"
"DO-265-distlist","admin1","admin1","user","1"
"VA-aguilucho-distlist","admin1","admin1","user","1"
"ME-yazminsit-admingroup","admin1","admin1","user","1"
"Domain Admins","admin1","admin1","user","1"
"Administrators","admin1","admin1","user","1"
"Domain Users","PARKER_ELLIS","PARKER_ELLIS","user",""
"NI-602-distlist","PARKER_ELLIS","PARKER_ELLIS","user",""
"GA-vivi_chag-distlist","PARKER_ELLIS","PARKER_ELLIS","user",""
"Domain Users","JOEY_MACIAS","JOEY_MACIAS","user",""
"FE-amigosfox-distlist","JOEY_MACIAS","JOEY_MACIAS","user",""
"AL-180-admingroup","JOEY_MACIAS","JOEY_MACIAS","user",""
"21-gua-admingroup","JOEY_MACIAS","JOEY_MACIAS","user",""
"Users","S-1-5-4",,"foreignSecurityPrincipal",""
"Domain Users","ARTURO_BEST","ARTURO_BEST","user",""
"BR-216-admingroup","ARTURO_BEST","ARTURO_BEST","user",""
"NO-miq-distlist","ARTURO_BEST","ARTURO_BEST","user",""
"CO-130-distlist","ARTURO_BEST","ARTURO_BEST","user",""
"Domain Users","WOODROW_WATKINS","WOODROW_WATKINS","user",""
"BA-sum-admingroup","WOODROW_WATKINS","WOODROW_WATKINS","user",""
"HA-ger-distlist","WOODROW_WATKINS","WOODROW_WATKINS","user",""
"IR-zay-distlist","WOODROW_WATKINS","WOODROW_WATKINS","user",""
"CO-kristy.22-distlist","WOODROW_WATKINS","WOODROW_WATKINS","user",""
"PA-gerardway-admingroup","WOODROW_WATKINS","WOODROW_WATKINS","user",""
"GE-bwo-distlist","WOODROW_WATKINS","WOODROW_WATKINS","user",""
"Domain Users","LUKE_ROWLAND","LUKE_ROWLAND","user",""
"KR-BASQUIPA5-admingroup","LUKE_ROWLAND","LUKE_ROWLAND","user",""
"DO-cov-distlist","LUKE_ROWLAND","LUKE_ROWLAND","user",""
"CA-592-distlist","LUKE_ROWLAND","LUKE_ROWLAND","user",""
"Pre-Windows 2000 Compatible Access","S-1-5-11",,"foreignSecurityPrincipal",""
"Certificate Service DCOM Access","S-1-5-11",,"foreignSecurityPrincipal",""
"Users","S-1-5-11",,"foreignSecurityPrincipal",""
"Domain Users","RICK_BARR","RICK_BARR","user",""
"RE-contabili-admingroup","RICK_BARR","RICK_BARR","user",""
"RO-priscilla-distlist","RICK_BARR","RICK_BARR","user",""
"AN-moisesalo-distlist","RICK_BARR","RICK_BARR","user",""
"ME-yazminsit-admingroup","RICK_BARR","RICK_BARR","user",""
"Domain Users","JUSTINE_BOOTH","JUSTINE_BOOTH","user",""
"GA-vivi_chag-distlist","JUSTINE_BOOTH","JUSTINE_BOOTH","user",""
"ST-vela30bet-admingroup","JUSTINE_BOOTH","JUSTINE_BOOTH","user",""
"Domain Controllers","DC1$","DC1","computer",""
"Pre-Windows 2000 Compatible Access","DC1$","DC1","computer",""
"Cert Publishers","DC1$","DC1","computer",""
"Domain Users","SCOTT_OCHOA","SCOTT_OCHOA","user",""
"BU-mil-distlist","SCOTT_OCHOA","SCOTT_OCHOA","user",""
"WI-pforzheim-admingroup","SCOTT_OCHOA","SCOTT_OCHOA","user",""
"14-bilbao227-distlist","SCOTT_OCHOA","SCOTT_OCHOA","user",""
"DO-cov-distlist","SCOTT_OCHOA","SCOTT_OCHOA","user",""
"AM-pun-distlist","SCOTT_OCHOA","SCOTT_OCHOA","user",""
"GW-tivogliob-admingroup","SCOTT_OCHOA","SCOTT_OCHOA","user",""
"HA-laf-distlist","SCOTT_OCHOA","SCOTT_OCHOA","user",""
"WseManagedGroups","SCOTT_OCHOA","SCOTT_OCHOA","user",""
"Domain Users","CYRIL_HEAD","CYRIL_HEAD","user",""
"19-ton-distlist","CYRIL_HEAD","CYRIL_HEAD","user",""
"MA-100-distlist","CYRIL_HEAD","CYRIL_HEAD","user",""
"ID-josailorv-distlist","CYRIL_HEAD","CYRIL_HEAD","user",""
"DE-222-distlist","CYRIL_HEAD","CYRIL_HEAD","user",""
"DE-gia-distlist","CYRIL_HEAD","CYRIL_HEAD","user",""
"SA-avi-distlist","CYRIL_HEAD","CYRIL_HEAD","user",""
"BA-mer-admingroup","CYRIL_HEAD","CYRIL_HEAD","user",""
"JO-bla-distlist","CYRIL_HEAD","CYRIL_HEAD","user",""
"23-cuxacpart-distlist","CYRIL_HEAD","CYRIL_HEAD","user",""
"WseManagedGroups","CYRIL_HEAD","CYRIL_HEAD","user",""
"Domain Users","JOSH_GOLDEN","JOSH_GOLDEN","user",""
"CO-ome-distlist","JOSH_GOLDEN","JOSH_GOLDEN","user",""
"DA-920-admingroup","JOSH_GOLDEN","JOSH_GOLDEN","user",""
"GE-zal-distlist","JOSH_GOLDEN","JOSH_GOLDEN","user",""
"DE-222-distlist","JOSH_GOLDEN","JOSH_GOLDEN","user",""
"AL-cat-distlist","JOSH_GOLDEN","JOSH_GOLDEN","user",""
"CO-kristy.22-distlist","JOSH_GOLDEN","JOSH_GOLDEN","user",""
"DE-gia-distlist","JOSH_GOLDEN","JOSH_GOLDEN","user",""
"KR-flo-distlist","JOSH_GOLDEN","JOSH_GOLDEN","user",""
"AP-152898251-distlist","JOSH_GOLDEN","JOSH_GOLDEN","user",""
"BA-carolina6-distlist","JOSH_GOLDEN","JOSH_GOLDEN","user",""
"34-ara786890-distlist","JOSH_GOLDEN","JOSH_GOLDEN","user",""
"Domain Users","GALE_RILEY","GALE_RILEY","user",""
"JA-918670241-distlist","GALE_RILEY","GALE_RILEY","user",""
"GE-bwo-distlist","GALE_RILEY","GALE_RILEY","user",""
"CL-est-distlist","GALE_RILEY","GALE_RILEY","user",""
"Domain Users","4000086081SA","4000086081SA","user",""
"FE-amigosfox-distlist","4000086081SA","4000086081SA","user",""
"CA-592-distlist","4000086081SA","4000086081SA","user",""
"Domain Users","MICHAEL_STONE","MICHAEL_STONE","user",""
"EL-234-admingroup","MICHAEL_STONE","MICHAEL_STONE","user",""
"TE-pendejo77-distlist","MICHAEL_STONE","MICHAEL_STONE","user",""
"VA-ale-distlist","MICHAEL_STONE","MICHAEL_STONE","user",""
"SA-avi-distlist","MICHAEL_STONE","MICHAEL_STONE","user",""
"CA-592-distlist","MICHAEL_STONE","MICHAEL_STONE","user",""
"JE-pal-distlist","MICHAEL_STONE","MICHAEL_STONE","user",""
"HA-laf-distlist","MICHAEL_STONE","MICHAEL_STONE","user",""
"WseAllowDashboardAccess","MICHAEL_STONE","MICHAEL_STONE","user",""
"Domain Users","KRYSTAL_YORK","KRYSTAL_YORK","user",""
"IR-zay-distlist","KRYSTAL_YORK","KRYSTAL_YORK","user",""
"JO-nez-admingroup","KRYSTAL_YORK","KRYSTAL_YORK","user",""
"TO-160-distlist","KRYSTAL_YORK","KRYSTAL_YORK","user",""
